Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
MethylC-Seq_mm_fc_10wk_SRR921784_1	77.97863432	90.8854660884	9.1145339116	33617933.0	2621480504.0	20-85	33617933.0	25.0
MethylC-Seq_mm_fc_10wk_SRR921785_1	94.7614801654	87.8125731547	12.1874268453	70595869.0	6689769040.0	20-116	70595869.0	25.0
MethylC-Seq_mm_fc_10wk_SRR921786_1	90.8175588642	87.3532112308	12.6467887692	69142855.0	6279385304.0	20-116	69142855.0	25.0
MethylC-Seq_mm_fc_10wk_SRR921787_1	94.6555182779	87.6818842006	12.3181157994	64092251.0	6066685236.0	20-116	64092251.0	25.0
MethylC-Seq_mm_fc_1wk_SRR921767_1	97.0732715786	91.2404960376	8.75950396243	99942367.0	9701732534.0	20-100	99942367.0	21.0
MethylC-Seq_mm_fc_1wk_SRR921768_1	96.8192772594	90.7179579251	9.28204207489	99937484.0	9675874972.0	20-100	99937484.0	21.0
MethylC-Seq_mm_fc_1wk_SRR921769_1	96.7193198219	93.9980243202	6.00197567977	20400069.0	1973080798.0	20-100	20400069.0	21.0
MethylC-Seq_mm_fc_1wk_SRR921770_1	96.9348632927	91.2557728562	8.74422714377	99944444.0	9688101016.0	20-100	99944444.0	21.0
MethylC-Seq_mm_fc_22mo_SRR921797_1	81.6264311138	90.7312967814	9.26870321859	88377494.0	7213939426.0	20-101	88377494.0	23.0
MethylC-Seq_mm_fc_22mo_SRR921798_1	79.7418185005	92.4524261756	7.54757382435	96164768.0	7668353476.0	20-101	96164768.0	23.0
MethylC-Seq_mm_fc_22mo_SRR921799_1	79.2206821752	90.3968437934	9.60315620664	96157236.0	7617641832.0	20-101	96157236.0	23.0
MethylC-Seq_mm_fc_22mo_SRR921800_1	78.001793353	93.2344396314	6.76556036862	19844392.0	1547898164.0	20-101	19844392.0	23.0
MethylC-Seq_mm_fc_2wk_SRR921694_1	91.8317801269	84.5070052513	15.4929947487	153092768.0	14058781410.0	20-101	153092768.0	26.0
MethylC-Seq_mm_fc_2wk_SRR921695_1	91.7810287747	85.4070851766	14.5929148234	153372033.0	14076642974.0	20-101	153372033.0	26.0
MethylC-Seq_mm_fc_2wk_SRR921696_1	85.5713592929	88.5324305521	11.4675694479	116247060.0	9947418938.0	20-101	116247060.0	25.0
MethylC-Seq_mm_fc_2wk_SRR921773_1	84.3832366762	89.1270710479	10.8729289521	128125879.0	10811676372.0	20-101	128125879.0	25.0
MethylC-Seq_mm_fc_4wk_SRR921697_1	83.3296783695	89.2977473625	10.7022526375	136274764.0	11355732254.0	20-101	136274764.0	25.0
MethylC-Seq_mm_fc_4wk_SRR921698_1	86.6727181197	88.2555496854	11.7444503146	138660582.0	12018089538.0	20-101	138660582.0	25.0
MethylC-Seq_mm_fc_4wk_SRR921699_1	86.6441293411	88.0024663239	11.9975336761	140019512.0	12131868708.0	20-101	140019512.0	25.0
MethylC-Seq_mm_fc_4wk_SRR921700_1	90.8957916613	86.4489346562	13.5510653438	171506611.0	15589229182.0	20-101	171506611.0	25.0
MethylC-Seq_mm_fc_6wk_SRR921778_1	81.4887888088	90.4294360951	9.57056390492	132869200.0	10827350178.0	20-101	132869200.0	24.0
MethylC-Seq_mm_fc_6wk_SRR921779_1	86.2220944135	88.8103186093	11.1896813907	138053504.0	11903262256.0	20-101	138053504.0	24.0
MethylC-Seq_mm_fc_6wk_SRR921780_1	86.5524289648	89.3925064287	10.6074935713	138945839.0	12026099860.0	20-101	138945839.0	24.0
MethylC-Seq_mm_fc_6wk_SRR921781_1	90.5454050959	85.3414630042	14.6585369958	170616521.0	15448542010.0	20-101	170616521.0	24.0
