Sample	HiCUP_mqc-generalstats-hicup-Percentage_Ditags_Passed_Through_HiCUP	HiCUP_mqc-generalstats-hicup-Deduplication_Read_Pairs_Uniques	HiCUP_mqc-generalstats-hicup-Percentage_Uniques	HiCUP_mqc-generalstats-hicup-Valid_Pairs	HiCUP_mqc-generalstats-hicup-Percentage_Valid	HiCUP_mqc-generalstats-hicup-Paired_Read_1	HiCUP_mqc-generalstats-hicup-Percentage_Mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sample-1.A002	30.83	8864466.0	99.21	8935388.0	62.12	14383198.0	50.02	8.234828150996094	38.0	125.0	16.666666666666664	28754600.0
Sample-1.A005	41.89	11219537.0	99.16	11314841.0	74.22	15245021.0	56.93	9.525222033720027	38.0	125.0	8.333333333333332	26780491.0
Sample-1.A006	37.39	12998003.0	99.17	13106391.0	70.95	18473566.0	53.15	10.593314418961427	38.0	125.0	16.666666666666664	34760244.0
Sample-1.A007	22.51	6978457.0	99.27	7029431.0	48.08	14621513.0	47.17	5.728053537695303	39.0	125.0	8.333333333333332	31000250.0
Sample-1.A012	32.73	11609411.0	99.18	11705308.0	61.38	19070455.0	53.76	9.648924874206088	39.0	125.0	8.333333333333332	35472550.0
Sample-1.A019	40.79	11658185.0	99.08	11766363.0	73.29	16053923.0	56.17	8.56257189890124	38.0	125.0	8.333333333333332	28583413.0
Sample-2.A002	43.69	20582567.0	91.42	22513818.0	78.87	28544901.0	60.59	18.797147332075497	39.0	125.0	16.666666666666664	47111116.0
Sample-2.A005	44.84	21256588.0	91.34	23270871.0	80.17	29027139.0	61.23	19.74641260678078	38.0	125.0	16.666666666666664	47405891.0
Sample-2.A006	40.86	21378250.0	87.14	24532872.0	78.72	31163044.0	59.57	21.737634601146453	39.0	125.0	25.0	52316898.0
Sample-2.A012	44.63	19432336.0	95.36	20377000.0	75.0	27167640.0	62.39	14.566697046862743	39.0	125.0	16.666666666666664	43542862.0
Sample-2.A019	42.19	18824646.0	87.18	21592114.0	78.49	27507786.0	61.65	20.726813605911246	38.0	125.0	16.666666666666664	44617077.0
Sample-3.A006	6.92	4912154.0	29.97	16389479.0	37.2	44061736.0	62.1	64.18578022609802	39.0	125.0	33.33333333333333	70954559.0
Sample-3.A012	1.91	1700554.0	12.62	13479427.0	39.23	34359246.0	38.61	79.3097416855016	40.0	125.0	33.33333333333333	88983957.0
