Module	Section	Sample Name	Source
Cutadapt	all_sections	SRR1067522_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067522_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1067505_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067505_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1067514_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067514_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1067503_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067503_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1067519_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067519_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1067510_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067510_1.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR1067503_1_trimmed	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067503_1_trimmed_fastqc.zip
FastQC	all_sections	SRR1067519_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067519_1_fastqc.zip
FastQC	all_sections	SRR1067522_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067522_1_fastqc.zip
FastQC	all_sections	SRR1067514_1_trimmed	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067514_1_trimmed_fastqc.zip
FastQC	all_sections	SRR1067522_1_trimmed	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067522_1_trimmed_fastqc.zip
FastQC	all_sections	SRR1067505_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067505_1_fastqc.zip
FastQC	all_sections	SRR1067510_1_trimmed	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067510_1_trimmed_fastqc.zip
FastQC	all_sections	SRR1067503_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067503_1_fastqc.zip
FastQC	all_sections	SRR1067514_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067514_1_fastqc.zip
FastQC	all_sections	SRR1067519_1_trimmed	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067519_1_trimmed_fastqc.zip
FastQC	all_sections	SRR1067505_1_trimmed	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067505_1_trimmed_fastqc.zip
FastQC	all_sections	SRR1067510_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067510_1_fastqc.zip
featureCounts	all_sections	SRR1067522_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067522_1_trimmed_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR1067505_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067505_1_trimmed_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR1067514_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067514_1_trimmed_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR1067503_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067503_1_trimmed_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR1067519_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067519_1_trimmed_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR1067510_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067510_1_trimmed_star_aligned.bam_counts.txt.summary
STAR	all_sections	SRR1067522_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067522_1_trimmedLog.final.out
STAR	all_sections	SRR1067505_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067505_1_trimmedLog.final.out
STAR	all_sections	SRR1067514_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067514_1_trimmedLog.final.out
STAR	all_sections	SRR1067503_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067503_1_trimmedLog.final.out
STAR	all_sections	SRR1067519_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067519_1_trimmedLog.final.out
STAR	all_sections	SRR1067510_1	/Users/philewels/Dropbox/Phil/Work/SLL_Postdoc/MultiQC_testing/star/data/SRR1067510_1_trimmedLog.final.out
