#id: 'edgeR-sample-distances'
#section_name: 'MDS Plot'
#description: "show relatedness between samples in a project.
#            These values are calculated using <a href='https://bioconductor.org/packages/release/bioc/html/edgeR.html'>edgeR</a>
#            in the <a href='https://github.com/SciLifeLab/NGI-RNAseq/blob/master/bin/edgeR_heatmap_MDS.r'><code>edgeR_heatmap_MDS.r</code></a> script."
#plot_type: 'scatter'
#anchor: 'ngi_rnaseq-mds_plot'
#pconfig:
#    xlab: 'Leading'
#    title: 'MDS Plot'
#    ylab: 'logFC'
	Leading logFC dim 1	Leading logFC dim 2
P1234_1022	-4.21919963718974	0.670437937570677
P1234_1008	-0.453491566561855	1.54735850481518
P1234_1010	-0.753943417736887	0.308480754319913
P1234_1015	-0.324598230521037	-0.488950622990984
P1234_1019	-0.955471873038356	-0.345761256298819
P1234_1020	-1.02296055484796	-0.24666830531767
P1234_1016	-0.19895545172353	-0.42003836437659
P1234_1012	-0.825341984480684	-0.211272402970524
P1234_1018	-0.497003982185954	-0.337919196949836
P1234_1011	-0.767170801775801	-0.198214108972149
P1234_1009	0.175735404207547	0.647522180029732
P1234_1017	-0.459878794056753	-0.366197722654261
P1234_1021	-0.677272727171738	-0.298036432498213
P1234_1004	2.18645721962275	2.4451605903074
P1234_1002	1.96006144812559	-2.41662562881144
P1234_1006	2.19824416726762	2.45638115204907
P1234_1005	2.16284450753463	2.41789993272983
P1234_1003	1.92335812485117	-2.41834205046298
P1234_1007	-0.471187513143918	0.0281360627176628
P1234_1001	1.97912919061823	-2.41778422794503
P1234_1014	-0.485887150722173	-0.174859600697585
P1234_1013	-0.473466377071168	-0.180707193593391
