Module	Section	Sample Name	Source
FastQC	all_sections	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1004/fastqc/P4107_1004_S4_L005_R1_001_fastqc.zip
FastQC	all_sections	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1005/fastqc/P4107_1005_S5_L006_R2_001_fastqc.zip
FastQC	all_sections	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1006/fastqc/P4107_1006_S6_L007_R2_001_fastqc.zip
FastQC	all_sections	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1001/fastqc/P4107_1001_S1_L002_R2_001_fastqc.zip
FastQC	all_sections	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1002/fastqc/P4107_1002_S2_L003_R2_001_fastqc.zip
FastQC	all_sections	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1003/fastqc/P4107_1003_S3_L004_R1_001_fastqc.zip
Picard	DuplicationMetrics	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/05_processed_alignments/P4107_1004.metrics
Picard	DuplicationMetrics	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/05_processed_alignments/P4107_1005.metrics
Picard	DuplicationMetrics	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/05_processed_alignments/P4107_1006.metrics
Picard	DuplicationMetrics	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/05_processed_alignments/P4107_1001.metrics
Picard	DuplicationMetrics	P4107_1002	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/05_processed_alignments/P4107_1002.metrics
Picard	DuplicationMetrics	P4107_1003	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/piper_ngi/05_processed_alignments/P4107_1003.metrics
FastQ Screen	all_sections	P4107_1004	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1004/fastq_screen/P4107_1004_S4_L005_R2_001_screen.txt
FastQ Screen	all_sections	P4107_1005	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1005/fastq_screen/P4107_1005_S5_L006_R1_001_screen.txt
FastQ Screen	all_sections	P4107_1006	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1006/fastq_screen/P4107_1006_S6_L007_R1_001_screen.txt
FastQ Screen	all_sections	P4107_1001	/Users/ewels/GitHub/MultiQC_website/public_html/examples/wgs/data/qc_ngi/P4107_1001/fastq_screen/P4107_1001_S1_L002_R1_001_screen.txt
