#Position (bp)	Coverage
3877256.5	46.42889068970427
1.16317685E7	46.527781374250246
1.93862805E7	52.713963044998835
2.71407925E7	47.89072568331831
3.48953045E7	49.41419614799745
4.26498165E7	50.3695256387507
5.04043285E7	49.67470654504113
5.81588405E7	48.16534322211378
6.59133525E7	49.38184814208812
7.36678645E7	47.90075016970765
8.14223765E7	48.809964701840684
8.91768885E7	50.93093105020664
9.69314005E7	48.82191555058526
1.046859125E8	48.58423057440623
1.124404245E8	50.27752552320507
1.201949365E8	108.93658814378003
1.279494485E8	0.0
1.357039605E8	0.0
1.434584725E8	40.72751244694702
1.512129845E8	50.11688407987504
1.589674965E8	51.27693167539105
1.667220085E8	50.03067543128439
1.744765205E8	50.15966794557801
1.822310325E8	51.26334745500426
1.899855445E8	49.35260645673126
1.977400565E8	49.65810588725635
2.054945685E8	48.48973784552787
2.132490805E8	49.386813122476305
2.210035925E8	49.16729834192016
2.287581045E8	49.78311530113049
2.365126165E8	48.51977764687191
2.442671285E8	48.41388755346565
2.48697503E8	43.56310085451852
2.52574759E8	44.63345725018896
2.597761525E8	49.63278746618743
2.675306645E8	48.390326173974586
2.752851765E8	49.83967243844616
2.830396885E8	56.27275397858692
2.907942005E8	50.64135228625605
2.985487125E8	48.6690613155283
3.063032245E8	50.14265823561818
3.140577365E8	51.323799486028264
3.218122485E8	50.26323797035842
3.295667605E8	46.67954398677828
3.373212725E8	59.8139881658575
3.450757845E8	78.3630125274163
3.528302965E8	46.98797461400537
3.605848085E8	49.663348254538775
3.683393205E8	47.667607839152225
3.760938325E8	47.782662661428596
3.838483445E8	50.96204209884516
3.916028565E8	48.8470582030178
3.993573685E8	48.805450168882324
4.071118805E8	50.0957521246985
4.148663925E8	49.22854397543005
4.226209045E8	50.94765769915631
4.303754165E8	50.842536319500184
4.381299285E8	50.23728804597891
4.458844405E8	49.89736323833144
4.536389525E8	50.17372634151575
4.613934645E8	49.90806268660104
4.691479765E8	49.2158691610768
4.769024885E8	50.05371866082611
4.846570005E8	48.20010788557681
4.904921255E8	45.80096804229496
4.943693815E8	47.386448642196704
5.001660245E8	49.0798649869908
5.079205365E8	50.48904005822675
5.156750485E8	49.22160865828823
5.234295605E8	48.752680761858386
5.311840725E8	49.5784032573552
5.389385845E8	49.48603264783135
5.466930965E8	50.155583613772215
5.544476085E8	46.94200731135628
5.622021205E8	48.225539788964156
5.699566325E8	47.35554577773559
5.777111445E8	47.601476147048324
5.854656565E8	30.2120321691423
5.932201685E8	49.92212985162703
6.009746805E8	49.72011120751377
6.087291925E8	50.7328338649808
6.164837045E8	50.81463849691637
6.242382165E8	49.86095630518078
6.319927285E8	49.687674479064576
6.397472405E8	48.95995595854388
6.475017525E8	50.163382944020206
6.552562645E8	47.65399241112787
6.630107765E8	50.38403641647598
